"DF","errorForDF"
1,0
2,0.0761407061061996
3,0.0796382657954011
4,0.0832340425050275
5,0.0845143259774706
6,0.0810878749410129
7,0.075416052634179
8,0.0708240244170076
9,0.0684534073076159
10,0.0678890661346257
11,0.0682974618135086
12,0.0690044349292857
13,0.069589312354785
14,0.0698580703213386
15,0.0697637714266945
16,0.0693430091061397
17,0.0686621189538751
18,0.0677955990807813
19,0.0668111575451661
20,0.0657618861509683
21,0.0646806101215524
22,0.0636182480960815
23,0.0625699874792023
24,0.0615823262993803
25,0.0606348726908164
26,0.0597632368711823
27,0.0589467748615947
28,0.0582133157522702
29,0.0575414058367189
30,0.0569301950089588
31,0.0563897669618747
32,0.0559099005059771
33,0.055485973227823
34,0.0551140130604434
35,0.0547897922076669
36,0.0545089452932683
37,0.0542673389757322
38,0.0540609623486755
39,0.0538876880326019
40,0.0537403266208973
41,0.0536150575186356
42,0.0535120782733042
43,0.0534261861187056
44,0.0533541157009595
45,0.0532927245219349
46,0.0532389974387944
47,0.0531907294736969
48,0.0531438579858551
49,0.0530965132047116
50,0.0530455831495713
51,0.0529901235802067
52,0.0529274284474547
53,0.0528555670251577
54,0.0527727317168855
55,0.0526781507760731
56,0.0525691089968906
57,0.0524446748324142
58,0.0523045908240515
59,0.0521474688861456
60,0.0519725161909996
61,0.0517790674228214
62,0.0515665755031233
63,0.0513346023166604
64,0.0510828095841874
65,0.0508109499951463
66,0.0505188586838808
67,0.0502120937636054
68,0.0498797696802414
69,0.0495271425582944
70,0.0491546709876861
71,0.0487539827882454
72,0.0483406697325682
73,0.0479076639721934
74,0.04745453429607
75,0.0469862477428188
76,0.0465045593960685
77,0.045981967325204
78,0.0454687503771584
79,0.0449108266203019
80,0.0443473136364479
81,0.0437815950885038
82,0.0431823547544382
83,0.0425700440656202
84,0.0419411249696415
85,0.041295966015397
86,0.0406350993483849
87,0.0399591602346489
88,0.039268021847999
89,0.0385462323644305
90,0.037843027668665
91,0.0370898610698714
92,0.036346141729929
93,0.0355845392788844
94,0.0348119301332165
95,0.0340228652031285
96,0.0332486333650293
97,0.0324160418295288
98,0.031620141484715
99,0
